Sintoma,peso
coceira,1
erupção cutânea,3
erupções cutâneas nodais,4
espirros contínuos,4
arrepios,5
calafrios,3
dor nas articulações,3
dor de estômago,5
acidez,3
úlceras na língua,4
atrofia muscular,3
vômitos,5
micção ardente,6
urinação com pontos,6
fadiga,4
ganho de peso,3
ansiedade,4
mãos e pés frios,5
mudanças de humor,3
perda de peso,3
inquietude,5
letargia,2
manchas na garganta,6
níveis irregulares de açúcar,5
tosse,4
febre alta,7
olhos afundados,3
falta de ar,4
suor,3
desidratação,4
indigestão,5
dor de cabeça,3
pele amarelada,3
urina escura,4
náusea,5
perda de apetite,4
dor atrás dos olhos,4
dor nas costas,3
constipação,4
dor abdominal,4
diarreia,6
febre leve,5
urina amarela,4
amarelamento dos olhos,4
falência hepática aguda,6
sobrecarga de fluido,6
inchaço do estômago,7
linfonodos inchados,6
mal-estar,6
visão turva e distorcida,5
catarro,5
irritação na garganta,4
vermelhidão nos olhos,5
pressão nos seios nasais,4
nariz escorrendo,5
congestão,5
dor no peito,7
fraqueza nos membros,7
ritmo cardíaco acelerado,5
dor durante movimentos intestinais,5
dor na região anal,6
fezes com sangue,5
irritação no ânus,6
dor no pescoço,5
tontura,4
cãibras,4
contusões,4
obesidade,4
pernas inchadas,5
vasos sanguíneos inchados,5
rosto e olhos inchados,5
tireoide aumentada,6
unhas quebradiças,5
extremidades inchadas,5
fome excessiva,4
contatos extraconjugais,5
lábios secos e formigantes,4
fala arrastada,4
dor no joelho,3
dor na articulação do quadril,2
fraqueza muscular,2
pescoço rígido,4
articulações inchadas,5
rigidez nos movimentos,5
movimentos giratórios,6
perda de equilíbrio,4
instabilidade,4
fraqueza de um lado do corpo,4
perda do olfato,3
desconforto na bexiga,4
cheiro forte na urina,5
sensação contínua de urinar,6
liberação de gases,5
coceira interna,4
aspecto tóxico (tifos),5
depressão,3
irritabilidade,2
dor muscular,2
sensorium alterado,2
manchas vermelhas pelo corpo,3
dor na barriga,4
menstruação anormal,6
manchas discrômicas,6
lacrimação,4
aumento do apetite,5
poliúria,4
histórico familiar,5
escarro mucoso,4
escarro enferrujado,4
falta de concentração,3
distúrbios visuais,3
recebimento de transfusão de sangue,5
recebimento de injeções não estéreis,2
coma,7
hemorragia estomacal,6
distensão do abdômen,4
histórico de consumo de álcool,5
sangue no escarro,5
veias proeminentes na panturrilha,6
palpitações,4
caminhada dolorosa,2
espinhas cheias de pus,2
cravos,2
cicatrização,2
descamação da pele,3
poeira prateada,2
pequenas depressões nas unhas,2
unhas inflamadas,2
bolha,4
ferida vermelha ao redor do nariz,2
crosta amarela que exsuda,3
prognóstico,5
